position;aktuelle_position_neu;header;dateiname;status
1;25;HEADER (orig);_KWF1942-HDR.jpg;live
2;42;;_KWF1945-HDR.jpg;live
3;29;;_KWF1948-HDR.jpg;live
4;58;;_KWF1951-HDR.jpg;live
5;9;;_KWF1954-HDR.jpg;live
6;12;;_KWF1957-HDR.jpg;live
7;23;;_KWF1960-HDR.jpg;live
8;32;;_KWF1963-HDR.jpg;live
9;4;;_KWF1966-HDR.jpg;live
10;15;;_KWF1969-HDR.jpg;live
11;7;;_KWF1972-HDR.jpg;live
12;21;;_KWF1975-HDR.jpg;live
13;1;;_KWF1978-HDR.jpg;live
14;35;;_KWF1981-HDR.jpg;live
15;61;;_KWF1984-HDR.jpg;live
16;64;;_KWF1987-HDR.jpg;live
17;67;;_KWF1990-HDR.jpg;live
18;38;;_KWF1993-HDR.jpg;live
19;41;;_KWF1996-HDR.jpg;live
20;44;;_KWF1999-HDR.jpg;live
21;18;HEADER (live);_KWF2002-HDR.jpg;live
22;45;;_KWF2005-HDR.jpg;live
23;47;;_KWF2008-HDR.jpg;live
24;11;;_KWF2011-HDR.jpg;live
25;8;;_KWF2014-HDR.jpg;live
26;17;;_KWF2017-HDR.jpg;live
27;19;;_KWF2020-HDR.jpg;live
28;2;;_KWF2023-HDR.jpg;live
29;22;;_KWF2026-HDR.jpg;live
30;14;;_KWF2029-HDR.jpg;live
31;74;;_KWF2032-HDR.jpg;live
32;75;;_KWF2035-HDR.jpg;live
33;76;;_KWF2038-HDR.jpg;live
34;77;;_KWF2041-HDR.jpg;live
35;;;_KWF2044-HDR.jpg;nicht auf Live-Seite (entfernt)
36;78;;_KWF2047-HDR.jpg;live
37;5;;_KWF2050-HDR.jpg;live
38;52;;_KWF2053-HDR.jpg;live
39;24;;_KWF2056-HDR.jpg;live
40;26;;_KWF2059-HDR.jpg;live
41;54;;_KWF2062-HDR.jpg;live
42;30;;_KWF2065-HDR.jpg;live
43;33;;_KWF2068-HDR.jpg;live
44;55;;_KWF2071-HDR.jpg;live
45;57;;_KWF2074-HDR.jpg;live
46;60;;_KWF2080-HDR.jpg;live
47;39;;_KWF2083-HDR.jpg;live
48;63;;_KWF2086-HDR.jpg;live
49;36;;_KWF2089-HDR.jpg;live
50;66;;_KWF2098.jpg;live
51;79;;_KWF2104-HDR.jpg;live
52;69;;_KWF2107-HDR.jpg;live
53;28;;_KWF2110-HDR.jpg;live
54;48;;_KWF2116-HDR.jpg;live
55;27;;VS-Tannheim-1.jpg;live
56;43;;VS-Tannheim-2.jpg;live
57;16;;VS-Tannheim-3.jpg;live
58;50;;VS-Tannheim-4.jpg;live
59;37;;VS-Tannheim-5.jpg;live
60;56;;VS-Tannheim-6.jpg;live
61;10;;VS-Tannheim-7.jpg;live
62;62;;VS-Tannheim-8.jpg;live
63;59;;VS-Tannheim-9.jpg;live
64;65;;VS-Tannheim-10.jpg;live
65;68;;VS-Tannheim-11.jpg;live
66;34;;VS-Tannheim-12.jpg;live
67;31;;VS-Tannheim-13.jpg;live
68;13;;VS-Tannheim-14.jpg;live
69;51;;VS-Tannheim-15.jpg;live
70;70;;VS-Tannheim-16.jpg;live
71;71;;VS-Tannheim-17.jpg;live
72;49;;VS-Tannheim-18.jpg;live
73;72;;VS-Tannheim-19.jpg;live
74;6;;VS-Tannheim-20.jpg;live
75;3;;VS-Tannheim-21.jpg;live
76;53;;VS-Tannheim-22.jpg;live
77;20;;VS-Tannheim-23.jpg;live
78;40;;VS-Tannheim-24.jpg;live
79;73;;VS-Tannheim-25.jpg;live
80;46;;VS-Tannheim-26.jpg;live
